Area_Name,No_of_street_light,Type_Area,No_of_men,No_of_women,Women_safety_ratio,Safe_or_unsafe,range
Piplod,24,Suburban,1232,4674,0.66,Unsafe,1172215
Vallabh Nagar,98,Suburban,276,903,0.99,Safe,9316536
Akota,105,Suburban,8139,149,0.01,Safe,7579316
Zadeshwar,25,Urban,3220,2387,0.33,Unsafe,5814798
Vastrapur,186,Rural,4713,3641,0.17,Unsafe,8288984
Kalwa Chowk,188,Rural,1084,9763,0.09,Unsafe,5586346
Bhutkhana Chowk,115,Suburban,2296,9073,0.59,Safe,753650
Dumas,164,Suburban,8169,9947,0.07,Safe,262641
Girnar Darwaza,189,Suburban,7258,8484,0.58,Safe,8362185
Chandkheda,168,Rural,4331,9167,0.57,Unsafe,4498733
Subhash Nagar,81,Urban,6282,3430,0.34,Unsafe,1295849
Karelibaug,14,Suburban,1681,961,0.67,Safe,2960332
Ranjit Sagar Road,93,Rural,8205,4051,0.22,Unsafe,1507258
Karelibaug,161,Suburban,3902,1248,0.66,Safe,7753046
Naranpura,38,Suburban,2708,8522,0.57,Unsafe,7864795
Jhagadia,36,Urban,3560,8373,1.0,Safe,1964715
Ghanshyam Nagar,12,Suburban,5070,198,0.51,Unsafe,9189709
Ghatlodia,37,Suburban,6145,2518,0.37,Safe,8012348
Upperkot,93,Rural,7454,6366,0.49,Unsafe,1959202
Ghogha Road,41,Suburban,1704,2099,0.59,Unsafe,1467560
Sabarmati,99,Suburban,8534,8674,0.37,Safe,4752198
Sayajigunj,90,Urban,2787,556,0.97,Unsafe,6237721
Rajkot Raiya Road,103,Rural,374,8526,0.95,Safe,5453240
Bhutkhana Chowk,100,Rural,30,3135,0.65,Unsafe,2217489
Bhatar,122,Suburban,2606,468,0.71,Safe,5224782
Zanzarda Road,167,Rural,2688,1673,0.19,Safe,8573753
Ranjit Sagar Road,120,Rural,3481,2717,0.95,Unsafe,2332293
Sarkhej,136,Suburban,1882,8368,0.26,Unsafe,6391206
Udhna,136,Urban,9655,9388,0.95,Unsafe,6498697
Sarkhej,51,Urban,1202,8825,0.59,Unsafe,8926453
Karelibaug,43,Urban,9794,5317,0.53,Safe,5064865
Morbi Road,136,Urban,715,9304,0.67,Safe,7334354
Ghogha Road,126,Suburban,5693,1205,0.91,Safe,7034456
Subhanpura,154,Urban,6403,6696,0.42,Unsafe,614355
Kalanala,37,Suburban,4392,1104,0.23,Safe,6784924
Sabarmati,19,Urban,2467,9175,0.73,Unsafe,3334567
Ranjit Sagar Road,119,Urban,4422,2586,0.6,Unsafe,9046025
Mavdi,36,Suburban,8550,3112,0.11,Safe,8753452
Sector 21,70,Urban,2608,8652,0.53,Safe,2615589
Bedi Road,110,Rural,644,5431,0.08,Safe,6114953
Joshipura,169,Suburban,3001,2526,0.59,Safe,8194469
Maninagar,127,Rural,6392,8024,0.02,Unsafe,551987
Lambhvel,197,Urban,8435,5723,0.3,Safe,5280259
Ghatlodia,158,Suburban,7699,6628,0.37,Unsafe,7336198
Sector 25,18,Rural,4651,3006,0.08,Unsafe,926499
Udhna,50,Rural,5555,5348,0.85,Unsafe,187250
Bedi Road,8,Urban,7574,4359,0.81,Unsafe,3045606
Air Force Area,41,Suburban,1956,1412,0.15,Unsafe,1720120
Alkapuri,172,Urban,8423,5004,0.49,Unsafe,4026929
Sector 29,13,Rural,5339,1644,0.27,Safe,175778
Race Course,171,Rural,5425,2599,0.78,Safe,488572
Karamsad,126,Urban,5434,4102,0.28,Safe,9470303
Adajan,103,Rural,2148,5060,0.93,Safe,5517854
Sama,45,Suburban,2825,2386,0.64,Safe,9389376
Palej,94,Rural,1579,4182,0.29,Safe,1639461
University Road,27,Rural,3728,413,0.16,Safe,9151851
Ghatlodia,183,Suburban,9963,3551,0.26,Unsafe,5492494
P N Marg,122,Urban,3603,6627,0.91,Unsafe,6922967
Bhakti Nagar,190,Suburban,4765,4181,0.88,Safe,1247968
P N Marg,20,Rural,8898,7777,0.55,Safe,4932836
Girnar Darwaza,94,Urban,2694,8272,0.2,Unsafe,8805755
Dhoraji Road,161,Urban,5644,2690,0.41,Safe,2972351
Upperkot,37,Rural,502,5168,0.43,Unsafe,1030728
Akota,192,Urban,1966,2798,0.33,Safe,3012969
Dumas,125,Urban,6486,3658,0.22,Safe,8795069
Adajan,0,Urban,5319,6567,0.59,Safe,6045178
Kalawad Road,13,Urban,7930,779,0.37,Unsafe,710362
Race Course,77,Suburban,4885,996,0.07,Safe,2485952
Sector 21,174,Urban,2267,4366,0.05,Safe,4284597
Borsad,103,Suburban,7640,5137,0.47,Safe,2221010
Dumas,147,Urban,2073,766,0.02,Unsafe,1684468
Sector 25,136,Suburban,1019,8332,0.2,Unsafe,1687152
University Road,75,Urban,6867,3502,0.76,Unsafe,7447914
Akota,191,Rural,7971,2805,0.64,Unsafe,9624469
Sector 28,40,Rural,7823,2785,0.65,Unsafe,5488593
Jhagadia,69,Suburban,6716,7024,0.4,Safe,9805082
Pal,138,Suburban,2849,3596,0.46,Safe,7984932
Zadeshwar,158,Urban,8980,3406,0.89,Safe,496632
Park Colony,78,Urban,9847,9065,0.65,Safe,6958734
Palej,106,Suburban,1486,9416,0.21,Unsafe,4571981
Fatehgunj,62,Urban,5411,1057,0.76,Safe,326967
Naranpura,122,Urban,9395,4572,0.83,Unsafe,6068960
Ranjit Sagar Road,124,Urban,745,3117,0.23,Unsafe,9390913
Ghogha Road,197,Suburban,6708,4353,0.22,Unsafe,9348253
Joshipura,39,Rural,2756,6437,0.11,Safe,965570
Zadeshwar,158,Urban,6070,1327,0.62,Safe,4850275
Park Colony,117,Suburban,2366,602,0.32,Unsafe,4539526
Amin Marg,12,Rural,203,4569,0.65,Unsafe,4791520
Vidyanagar,62,Rural,4469,1045,0.07,Unsafe,2538513
Akota,10,Urban,7252,4362,0.22,Safe,5726915
Akota,49,Suburban,1490,7071,0.83,Safe,6202861
Old NH-8,118,Urban,8416,549,0.67,Unsafe,2862582
Sarkhej,43,Urban,997,5435,0.3,Unsafe,8786516
Dumas,54,Urban,9512,1882,0.02,Unsafe,1731908
Sarkhej,148,Suburban,6721,9314,0.96,Safe,6035601
Vallabh Nagar,90,Urban,1405,4302,0.56,Safe,3165455
Sarkhej,103,Rural,8291,1641,0.41,Safe,7903925
Khambhat,42,Rural,9627,735,0.51,Unsafe,511332
Sector 17,95,Suburban,7712,4799,0.54,Safe,9556989
Vidyanagar,85,Suburban,4695,4891,0.8,Unsafe,1314722
Sayajigunj,156,Urban,5464,7337,0.26,Safe,5405207
Dhoraji Road,78,Suburban,6908,961,0.77,Safe,5825945
Zadeshwar,68,Rural,3461,1995,0.56,Unsafe,9559512
Ankleshwar GIDC,46,Urban,3818,5096,0.91,Unsafe,3866941
Chitra,155,Urban,5417,3802,0.2,Unsafe,6672655
Sector 25,93,Suburban,9525,2839,0.75,Unsafe,1991472
Anklav,182,Urban,4296,9268,0.31,Safe,9561505
Athwa,24,Suburban,782,2346,0.6,Unsafe,6538189
Karelibaug,194,Urban,7604,1945,0.82,Unsafe,761342
Gotri,91,Urban,1473,4952,0.97,Unsafe,8392800
Alka Society,84,Rural,5675,1399,0.8,Unsafe,1492274
Kalavad Road,178,Rural,1552,6874,0.18,Safe,6125438
Sector 29,141,Suburban,3585,13,0.72,Safe,9137683
Fatehgunj,88,Suburban,4510,2467,0.93,Unsafe,259286
Zanzarda Road,119,Suburban,5509,9911,0.99,Safe,7106509
Ankleshwar GIDC,191,Rural,429,3344,0.2,Safe,7607488
Chitra,108,Suburban,5853,5872,0.9,Safe,1722959
Sector 16,71,Rural,9610,6526,0.82,Unsafe,303514
Jambusar,1,Rural,7686,7041,0.61,Safe,3578252
Sector 29,194,Suburban,8354,5115,0.79,Safe,8419169
Amod,96,Suburban,9458,3135,0.51,Safe,528216
Talav Gate,135,Urban,9777,4995,0.87,Safe,1093011
Green City,110,Rural,5418,9595,0.07,Unsafe,4411491
Waghodia Road,174,Urban,1933,810,0.17,Unsafe,440894
Sector 24,189,Urban,3645,5742,0.98,Unsafe,292189
Vesu,76,Urban,8575,2460,0.89,Unsafe,8146440
Vadtal,157,Rural,5371,4777,0.19,Safe,2214508
Girnar Darwaza,165,Rural,9343,366,0.7,Safe,8537984
Kalwa Chowk,185,Suburban,7724,6334,0.56,Unsafe,5149371
Bedi Road,119,Urban,8486,6540,0.46,Unsafe,9945414
Chitra,91,Rural,3032,142,0.53,Safe,2642755
Khambhat,133,Suburban,6475,515,0.29,Safe,5677355
